ID,Date,State,City,Gender,Age Group
3040722,31-Dec-14,California,Los Angeles,male,Adult 18+
3040717,31-Dec-14,California,Los Angeles,male,Adult 18+
291511,31-Dec-14,Virginia,Petersburg,male,Adult 18+
291511,31-Dec-14,Virginia,Petersburg,male,Adult 18+
291511,31-Dec-14,Virginia,Petersburg,male,Adult 18+
278757,31-Dec-14,Mississippi,Jackson,female,Adult 18+
277950,31-Dec-14,Virginia,Roanoke,male,Adult 18+
277950,31-Dec-14,Virginia,Roanoke,male,Adult 18+
276313,31-Dec-14,Washington,Renton,male,Adult 18+
276134,31-Dec-14,Florida,Tallahassee,male,Teen 12-17
276134,31-Dec-14,Florida,Tallahassee,male,Adult 18+
276134,31-Dec-14,Florida,Tallahassee,male,Adult 18+
275839,31-Dec-14,Indiana,N/A,male,Adult 18+
275839,31-Dec-14,Indiana,N/A,male,Adult 18+
274918,31-Dec-14,Alabama,Montgomery,male,Child 0-11
274849,31-Dec-14,Missouri,Springfield,male,N/A
274849,31-Dec-14,Missouri,Springfield,female,Adult 18+
274821,31-Dec-14,Missouri,Kansas City,male,Adult 18+
273436,31-Dec-14,California,Los Angeles,female,Adult 18+
273081,31-Dec-14,Arkansas,Little Rock,male,Adult 18+
272942,31-Dec-14,Colorado,Denver,male,N/A
272878,31-Dec-14,Missouri,Kansas City,male,N/A
272863,31-Dec-14,Maryland,Fairmount Heights,male,Adult 18+
272861,31-Dec-14,Florida,Riviera Beach,N/A,Adult 18+
272805,31-Dec-14,Florida,Orlando,male,Adult 18+
272805,31-Dec-14,Florida,Orlando,male,Adult 18+
272805,31-Dec-14,Florida,Orlando,male,Adult 18+
272805,31-Dec-14,Florida,Orlando,male,Adult 18+
272805,31-Dec-14,Florida,Orlando,male,Adult 18+
272746,31-Dec-14,Texas,Navasota,male,Teen 12-17
272629,31-Dec-14,Georgia,LaGrange,male,Adult 18+
272623,31-Dec-14,Georgia,Temple,male,Adult 18+
272623,31-Dec-14,Georgia,Temple,male,Teen 12-17
272623,31-Dec-14,Georgia,Temple,male,Teen 12-17
272553,31-Dec-14,California,Diamond Springs,male,Adult 18+
272538,31-Dec-14,California,Fresno,male,Adult 18+
272538,31-Dec-14,California,Fresno,male,Adult 18+
272444,31-Dec-14,Kansas,Overland Park,male,Adult 18+
272444,31-Dec-14,Kansas,Overland Park,male,Adult 18+
272439,31-Dec-14,Montana,Missoula,male,Adult 18+
272439,31-Dec-14,Montana,Missoula,male,Adult 18+
272425,31-Dec-14,Colorado,Westminster,N/A,N/A
272425,31-Dec-14,Colorado,Westminster,male,N/A
272346,31-Dec-14,Ohio,Massillon,male,Adult 18+
272346,31-Dec-14,Ohio,Massillon,female,Adult 18+
272337,31-Dec-14,Louisiana,New Orleans,male,Adult 18+
272335,31-Dec-14,Louisiana,New Orleans,male,Adult 18+
272331,31-Dec-14,Texas,Katy,male,Adult 18+
272331,31-Dec-14,Texas,Katy,male,Adult 18+
272331,31-Dec-14,Texas,Katy,male,Adult 18+
272322,31-Dec-14,Michigan,Detroit,male,Adult 18+
272322,31-Dec-14,Michigan,Detroit,female,Adult 18+
272315,31-Dec-14,Texas,Dallas,male,Adult 18+
272263,31-Dec-14,New York,Buffalo,male,Adult 18+
272254,31-Dec-14,New York,Niagara,male,Adult 18+
272254,31-Dec-14,New York,Niagara,male,Adult 18+
272221,31-Dec-14,South Carolina,Pelzer,female,Adult 18+
272207,31-Dec-14,Texas,Dallas,male,Adult 18+
272207,31-Dec-14,Texas,Dallas,male,Adult 18+
272207,31-Dec-14,Texas,Dallas,male,Adult 18+
272207,31-Dec-14,Texas,Dallas,male,Adult 18+
