ID,Date,State,City,Gender,Age Group
1071325,31-Dec-16,Georgia,Griffin,male,Adult 18+
825045,31-Dec-16,Oklahoma,Tulsa,male,Adult 18+
825045,31-Dec-16,Oklahoma,Tulsa,male,Adult 18+
825045,31-Dec-16,Oklahoma,Tulsa,male,Adult 18+
772198,31-Dec-16,Missouri,Kansas City,male,Adult 18+
763736,31-Dec-16,Kentucky,Louisville,N/A,N/A
763736,31-Dec-16,Kentucky,Louisville,male,Adult 18+
755970,31-Dec-16,New Jersey,Stratford,female,Child 0-11
755970,31-Dec-16,New Jersey,Stratford,male,Adult 18+
747691,31-Dec-16,Maryland,Suitland,female,Adult 18+
747691,31-Dec-16,Maryland,Suitland,male,Adult 18+
745133,31-Dec-16,Tennessee,Finley,female,Adult 18+
745133,31-Dec-16,Tennessee,Finley,male,Adult 18+
745131,31-Dec-16,Oklahoma,Oklahoma City,male,Adult 18+
745128,31-Dec-16,Oklahoma,Oklahoma City,male,Adult 18+
745128,31-Dec-16,Oklahoma,Oklahoma City,male,Adult 18+
743569,31-Dec-16,South Carolina,Santee,male,Adult 18+
743569,31-Dec-16,South Carolina,Santee,male,Adult 18+
743260,31-Dec-16,Louisiana,Bossier City,male,Adult 18+
743260,31-Dec-16,Louisiana,Bossier City,male,Adult 18+
743211,31-Dec-16,Louisiana,Arabi,male,Adult 18+
743155,31-Dec-16,Illinois,Blue Island,female,Adult 18+
743155,31-Dec-16,Illinois,Blue Island,N/A,Adult 18+
743016,31-Dec-16,Indiana,Laurel,female,Adult 18+
743016,31-Dec-16,Indiana,Laurel,N/A,Adult 18+
742938,31-Dec-16,Texas,Dallas,male,N/A
742926,31-Dec-16,Texas,Fort Worth,male,Adult 18+
742697,31-Dec-16,Indiana,East Chicago,male,Adult 18+
742643,31-Dec-16,Florida,Bryceville,female,Adult 18+
742643,31-Dec-16,Florida,Bryceville,male,Adult 18+
742566,31-Dec-16,California,Salinas,male,Adult 18+
742303,31-Dec-16,California,Bakersfield,female,Adult 18+
742287,31-Dec-16,South Carolina,Santee,male,Adult 18+
742287,31-Dec-16,South Carolina,Santee,male,Adult 18+
742091,31-Dec-16,Montana,Columbus,female,Adult 18+
742088,31-Dec-16,New Mexico,Roswell,male,Adult 18+
742088,31-Dec-16,New Mexico,Roswell,male,Adult 18+
741882,31-Dec-16,North Carolina,Edenton,male,Adult 18+
741882,31-Dec-16,North Carolina,Edenton,male,Adult 18+
741777,31-Dec-16,Florida,Kissimmee,male,Adult 18+
741777,31-Dec-16,Florida,Kissimmee,female,Adult 18+
741777,31-Dec-16,Florida,Kissimmee,male,Adult 18+
741738,31-Dec-16,North Carolina,Morganton,female,Teen 12-17
741738,31-Dec-16,North Carolina,Morganton,male,Adult 18+
