ID,Date,State,City,Gender,Age Group
3019601,31-Dec-17,California,Compton,male,Adult 18+
1923522,31-Dec-17,Pennsylvania,Philadelphia,male,Adult 18+
1923516,31-Dec-17,Pennsylvania,Philadelphia,male,Adult 18+
1052098,31-Dec-17,Texas,San Antonio,male,Adult 18+
1052098,31-Dec-17,Texas,San Antonio,male,Teen 12-17
1031302,31-Dec-17,California,Northridge,male,Adult 18+
1031302,31-Dec-17,California,Northridge,male,Adult 18+
1025819,31-Dec-17,South Carolina,Florence,male,Adult 18+
1023659,31-Dec-17,North Carolina,Elizabethtown,male,N/A
1023659,31-Dec-17,North Carolina,Elizabethtown,male,N/A
1021943,31-Dec-17,Alabama,Selma,male,Teen 12-17
1021938,31-Dec-17,Alabama,Selma,male,Adult 18+
1021938,31-Dec-17,Alabama,Selma,female,Adult 18+
1021362,31-Dec-17,Texas,Kilgore,female,Adult 18+
1021362,31-Dec-17,Texas,Kilgore,male,Adult 18+
1020965,31-Dec-17,Florida,Saint Petersburg,male,N/A
1020900,31-Dec-17,Florida,Fort Pierce,male,N/A
1020900,31-Dec-17,Florida,Fort Pierce,male,Teen 12-17
1020900,31-Dec-17,Florida,Fort Pierce,male,Teen 12-17
1020462,31-Dec-17,Illinois,Decatur,male,Adult 18+
1020462,31-Dec-17,Illinois,Decatur,male,N/A
1020460,31-Dec-17,Illinois,Decatur,male,Adult 18+
1020322,31-Dec-17,Illinois,Urbana,male,Adult 18+
1020322,31-Dec-17,Illinois,Urbana,male,Adult 18+
1020202,31-Dec-17,Ohio,South Webster,male,Adult 18+
1020146,31-Dec-17,Georgia,Snellville,male,N/A
1020146,31-Dec-17,Georgia,Snellville,male,N/A
1020146,31-Dec-17,Georgia,Snellville,male,N/A
1019944,31-Dec-17,California,San Diego,male,Adult 18+
1019604,31-Dec-17,Alabama,Opp,male,Adult 18+
1019407,31-Dec-17,Ohio,West Carrollton,female,Adult 18+
1019407,31-Dec-17,Ohio,West Carrollton,male,Adult 18+
1019212,31-Dec-17,Kentucky,Robards,male,Adult 18+
1019212,31-Dec-17,Kentucky,Robards,male,Adult 18+
1019212,31-Dec-17,Kentucky,Robards,male,N/A
1019165,31-Dec-17,Texas,Highlands,male,Adult 18+
1019165,31-Dec-17,Texas,Highlands,female,Adult 18+
1019163,31-Dec-17,Colorado,Colorado Springs,male,Adult 18+
1019120,31-Dec-17,Indiana,Evansville,male,Adult 18+
1019108,31-Dec-17,Colorado,Denver,male,Adult 18+
1019108,31-Dec-17,Colorado,Denver,male,Adult 18+
1019020,31-Dec-17,Mississippi,Cleveland,male,Teen 12-17
1019018,31-Dec-17,Mississippi,Tupelo,N/A,Adult 18+
1018928,31-Dec-17,West Virginia,Morgantown,N/A,N/A
1018928,31-Dec-17,West Virginia,Morgantown,N/A,N/A
1018928,31-Dec-17,West Virginia,Morgantown,male,Adult 18+
1018887,31-Dec-17,Wisconsin,Milwaukee,male,Adult 18+
1018845,31-Dec-17,Colorado,Fort Lupton,male,Adult 18+
1018786,31-Dec-17,Virginia,Norfolk,female,Adult 18+
1018786,31-Dec-17,Virginia,Norfolk,male,Adult 18+
1018774,31-Dec-17,Virginia,Chesapeake,male,Adult 18+
1018718,31-Dec-17,New Jersey,Annandale,male,Adult 18+
1018661,31-Dec-17,Illinois,Joliet,male,Teen 12-17
1018661,31-Dec-17,Illinois,Joliet,female,Teen 12-17
1018661,31-Dec-17,Illinois,Joliet,N/A,N/A
1018661,31-Dec-17,Illinois,Joliet,N/A,N/A
1018549,31-Dec-17,Illinois,Rockford,male,Adult 18+
1018549,31-Dec-17,Illinois,Rockford,male,N/A
1018532,31-Dec-17,Virginia,Hopewell,male,Adult 18+
